Index, Symbol, Company Name, Sector, Industry, Country, Market Cap, Forward PE, PEG, Price/Sales, Price/Book, Price/FCF, EPS This Y, EPS Next Y, EPS Next 5Y, EPS Q/Q, Sales Q/Q, ROA, ROE, ROI, Current Ratio, Quick Ratio, LT Debt/Equity, Debt/Equity, Gross Margin, Operating Margin, Net Margin, Perf Month, Perf Quarter, Perf Half Y, Perf Year, Perf YTD, Volatility (Month)
62, CRESY, Cresud SACIF y A ADR, Consumer Defensive, Farm Products, Argentina, 639.00M, -, 0.11, 0.74, 1.01, -, 61.20%, -, 25.00%, -358.50%, -28.80%, 1.20%, 24.00%, 6.50%, 0.60, 0.50, 2.05, 3.56, 27.90%, 53.30%, 7.40%, 13.74%, 26.31%, 58.04%, 95.95%, 31.32%, 6.45%
64, CYAN, Cyanotech Corporation, Consumer Defensive, Packaged Foods, USA, 19.00M, -, -, 0.60, 1.12, 13.57, 110.50%, -, -, 363.50%, -6.70%, 3.90%, 7.60%, 4.30%, 2.30, 0.80, 0.23, 0.47, 36.20%, 5.70%, 3.90%, -1.87%, -17.10%, 16.30%, 51.69%, 3.29%, 4.63%
66, DEO, Diageo plc, Consumer Defensive, Beverages - Wineries & Distilleries, United Kingdom, 111.90B, 26.90, 7.17, 6.89, 11.66, 101.25, -54.00%, 15.11%, 9.90%, -16.30%, -0.50%, 3.50%, 15.30%, 6.30%, 1.80, 0.90, 2.06, 2.24, 59.60%, 16.80%, 9.80%, 5.39%, 21.27%, 22.57%, 37.44%, 21.69%, 0.96%
68, DIT, AMCON Distributing Company, Consumer Defensive, Food Distribution, USA, 73.09M, -, -, 0.05, 1.06, 6.71, 107.40%, -, -, 254.10%, 12.00%, 5.70%, 15.10%, 5.30%, 2.90, 1.00, 0.70, 0.71, 5.80%, 0.90%, 0.60%, -6.11%, 13.05%, 51.08%, 119.28%, 9.72%, 3.54%
70, DOGZ, Dogness International Corporation, Consumer Defensive, Household & Personal Products, China, 49.30M, 6.64, -, 2.57, 0.85, -, -694.30%, 525.00%, -, -569.20%, -49.70%, -12.40%, -14.60%, -15.80%, 1.10, 0.80, 0.00, 0.10, 12.50%, -45.30%, -44.00%, 1.84%, -18.23%, -30.83%, 61.95%, -21.33%, 8.43%
72, EAST, Eastside Distilling Inc., Consumer Defensive, Beverages - Wineries & Distilleries, USA, 32.30M, -, -, 2.41, 3.45, -, 32.00%, 48.10%, -, 93.90%, 6.90%, -8.40%, -100.10%, -75.80%, 1.10, 0.40, 0.06, 0.82, 33.10%, -55.80%, -19.70%, 48.00%, 38.50%, 56.02%, 68.18%, 102.34%, 8.24%
74, EDU, New Oriental Education & Technology Group Inc., Consumer Defensive, Education & Training Services, China, 17.57B, 23.14, 1.62, 4.55, 3.52, -, 73.10%, 51.37%, 26.29%, 3.80%, 29.00%, 4.70%, 10.20%, 8.20%, 2.00, 2.00, 0.06, 0.06, 52.10%, 6.00%, 10.20%, -34.47%, -45.13%, -39.40%, -14.72%, -44.94%, 6.31%
76, EL, The Estee Lauder Companies Inc., Consumer Defensive, Household & Personal Products, USA, 110.04B, 42.87, 3.01, 7.48, 20.17, 54.77, -61.40%, 15.81%, 27.18%, -, 15.50%, 7.40%, 28.80%, 2.50%, 2.10, 1.70, 0.99, 1.08, 75.40%, 12.50%, 9.40%, -3.23%, 4.28%, 24.17%, 55.22%, 15.15%, 2.00%
78, EPC, Edgewell Personal Care Company, Consumer Defensive, Household & Personal Products, USA, 2.45B, 14.99, 12.09, 1.26, 1.68, 17.04, 118.20%, 9.28%, 3.56%, -26.70%, -0.70%, 1.60%, 4.00%, 2.50%, 2.00, 1.30, 0.84, 0.86, 45.60%, 3.80%, 3.00%, 16.93%, 46.81%, 24.33%, 49.18%, 31.23%, 3.12%
80, FARM, Farmer Bros. Co., Consumer Defensive, Packaged Foods, USA, 213.95M, -, -, 0.57, 2.61, -, 49.90%, 77.30%, 30.00%, 66.30%, -27.80%, -13.30%, -48.60%, -15.80%, 1.80, 0.80, 1.08, 1.08, 23.40%, -12.10%, -12.70%, 17.23%, 41.31%, 158.92%, 56.16%, 157.82%, 7.31%
61, CPB, Campbell Soup Company, Consumer Defensive, Packaged Foods, USA, 14.49B, 15.92, 6.80, 1.62, 5.05, 22.22, 23.60%, -0.39%, 2.70%, 42.80%, 5.40%, 6.50%, 29.80%, 11.20%, 0.90, 0.60, 1.71, 2.06, 35.10%, 15.40%, 9.00%, 1.35%, 6.92%, -0.51%, -4.53%, 0.66%, 1.77%
63, CVGW, Calavo Growers Inc., Consumer Defensive, Packaged Foods, USA, 1.27B, 24.38, -, 1.26, 4.81, 81.95, -137.20%, 40.38%, 14.30%, 658.30%, -19.30%, -1.70%, -2.80%, 12.90%, 1.80, 1.30, 0.17, 0.17, 9.10%, 3.30%, -0.70%, -10.61%, -9.90%, -0.64%, 21.69%, 2.55%, 2.42%
65, DAR, Darling Ingredients Inc., Consumer Defensive, Packaged Foods, USA, 11.33B, 14.44, 1.11, 3.01, 3.50, 25.21, -4.40%, 37.33%, 27.17%, 96.40%, 22.70%, 6.60%, 12.90%, 8.60%, 1.50, 0.80, 0.48, 0.49, 25.30%, 13.50%, 9.60%, -3.50%, 6.87%, 42.65%, 193.69%, 18.69%, 4.43%
67, DG, Dollar General Corporation, Consumer Defensive, Discount Stores, USA, 48.90B, 18.36, 2.30, 1.45, 7.75, 35.76, 60.00%, 10.93%, 8.30%, 10.00%, -0.60%, 10.40%, 39.40%, 26.00%, 1.10, 0.20, 0.66, 0.00, 31.80%, 10.70%, 7.90%, -5.54%, 5.22%, -6.47%, 5.98%, -3.49%, 1.88%
69, DLTR, Dollar Tree Inc., Consumer Defensive, Discount Stores, USA, 23.43B, 14.23, 1.78, 0.91, 3.07, 16.56, 62.90%, 13.31%, 8.80%, 53.20%, 3.10%, 7.10%, 20.60%, 14.20%, 1.40, 0.40, 0.44, 0.44, 31.00%, 7.90%, 5.70%, -15.53%, -1.74%, -12.74%, -0.38%, -9.76%, 2.00%
71, DTEA, DAVIDsTEA Inc., Consumer Defensive, Packaged Foods, Canada, 97.12M, -, -, 0.96, -, -, -82.10%, -, -, -417.00%, -45.30%, -66.30%, 283.90%, 175.10%, 0.70, 0.50, -, -, 40.70%, -43.70%, -46.00%, 14.79%, 3.74%, 183.21%, 342.42%, 61.00%, 7.59%
73, EDTK, Skillful Craftsman Education Technology Limited, Consumer Defensive, Education & Training Services, China, 29.41M, -, -, 0.96, 0.52, -, 15.00%, -, -, 20.50%, 37.80%, -, -, 35.50%, 1.90, 1.90, 0.00, 0.01, 56.50%, -, -, -1.26%, -30.79%, -29.76%, -, -23.13%, 8.45%
75, EEIQ, Elite Education Group International Limited, Consumer Defensive, Education & Training Services, USA, 41.79M, -, -, 4.61, -, -, -, -, -, -, -22.60%, -, -, -, -, -, -, -, -, -, -, -25.66%, -, -, -, 20.25%, 9.55%
77, ELF, e.l.f. Beauty Inc., Consumer Defensive, Household & Personal Products, USA, 1.46B, 35.26, 32.63, 4.59, 5.19, 63.54, -65.90%, 18.15%, 7.15%, 93.10%, 24.10%, 1.30%, 2.40%, 3.00%, 2.30, 1.50, 0.41, 0.47, 64.80%, 3.00%, 2.00%, -7.56%, 2.94%, 28.26%, 63.36%, 11.16%, 3.21%
79, FAMI, Farmmi Inc., Consumer Defensive, Packaged Foods, China, 12.29M, -, -, 0.41, 0.25, -, 292.60%, -, -, -68.00%, -1.20%, 2.50%, 3.40%, 6.10%, 4.40, 4.40, 0.00, 0.19, 16.50%, 7.10%, 2.70%, 21.40%, -68.73%, -52.76%, -9.63%, -63.78%, 12.21%
82, FEDU, Four Seasons Education Cayman Inc., Consumer Defensive, Education & Training Services, China, 45.80M, -, -, 1.04, 0.41, -, 73.60%, -, -, 91.90%, -1.30%, -2.70%, -4.20%, -6.30%, 2.30, 2.30, 0.00, 0.00, 39.80%, -13.00%, -10.10%, -14.67%, -41.10%, -7.50%, -23.60%, -15.46%, 10.18%
84, FIZZ, National Beverage Corp., Consumer Defensive, Beverages - Non-Alcoholic, USA, 4.54B, 26.01, 1.07, 4.23, 14.51, 26.31, -7.50%, 2.24%, 25.56%, 38.10%, 10.40%, 26.30%, 36.90%, 27.60%, 2.40, 1.90, 0.00, 0.00, 39.10%, 20.80%, 16.00%, 2.61%, 1.92%, 11.83%, 86.56%, 17.62%, 3.42%
86, FMX, Fomento Economico Mexicano S.A.B. de C.V., Consumer Defensive, Beverages - Brewers, Mexico, 26.10B, 23.62, -, 1.05, 2.49, -, -109.30%, 17.58%, 6.10%, -41.30%, 1.90%, -, -, 4.00%, 1.60, 1.30, 1.00, 1.06, 38.40%, -, -, 1.77%, 17.93%, 7.95%, 21.10%, 8.22%, 2.21%
