Index, Symbol, Company Name, Sector, Industry, Country, Market Cap, Forward PE, PEG, Price/Sales, Price/Book, Price/FCF, EPS This Y, EPS Next Y, EPS Next 5Y, EPS Q/Q, Sales Q/Q, ROA, ROE, ROI, Current Ratio, Quick Ratio, LT Debt/Equity, Debt/Equity, Gross Margin, Operating Margin, Net Margin, Perf Month, Perf Quarter, Perf Half Y, Perf Year, Perf YTD, Volatility (Month)
126, LAC, Lithium Americas Corp., Basic Materials, Other Industrial Metals & Mining, Canada, 1.83B, -, -, -, 8.11, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 4.94%, -19.43%, 38.34%, 271.36%, 21.91%, 5.97%
128, LIN, Linde plc, Basic Materials, Specialty Chemicals, United Kingdom, 156.51B, 27.40, 6.08, 5.64, 3.40, 56.66, 17.40%, 10.52%, 9.00%, 74.10%, 7.50%, 3.40%, 6.30%, 3.90%, 0.70, 0.60, 0.22, 0.34, 43.80%, 13.70%, 10.50%, 3.89%, 19.53%, 18.65%, 48.56%, 14.08%, 1.27%
130, LOOP, Loop Industries Inc., Basic Materials, Specialty Chemicals, Canada, 400.03M, -, -, -, 8.55, -, 26.30%, 28.90%, -, -245.20%, -, -63.50%, -71.50%, -, 11.10, 11.10, 0.05, 0.05, -, -, -, 9.23%, -1.49%, 7.20%, 7.58%, 11.20%, 6.14%
132, LXU, LSB Industries Inc., Basic Materials, Chemicals, USA, 195.49M, -, -, 0.53, 1.44, -, -2.50%, 36.30%, 12.00%, 18.00%, 17.60%, -8.80%, -57.50%, -1.70%, 1.10, 1.00, 3.74, 3.95, 6.20%, -2.50%, -25.80%, -0.94%, 28.89%, 154.66%, 482.41%, 85.55%, 6.96%
134, MAG, MAG Silver Corp., Basic Materials, Silver, Canada, 2.01B, 17.06, -, -, 6.55, -, -51.60%, 50.00%, -, 77.60%, -, 1.40%, 1.40%, -, 107.30, 107.30, 0.00, 0.00, -, -, -, 21.55%, 17.05%, 46.09%, 72.33%, 4.73%, 4.68%
136, MDU, MDU Resources Group Inc., Basic Materials, Building Materials, USA, 6.75B, 15.11, 2.25, 1.21, 2.19, 76.08, 15.40%, 6.15%, 7.20%, 18.10%, 0.50%, 4.70%, 12.60%, 8.60%, 1.40, 1.10, 0.72, 0.74, 91.60%, 9.50%, 6.70%, 0.54%, 17.40%, 30.01%, 54.69%, 27.79%, 1.69%
138, MERC, Mercer International Inc., Basic Materials, Paper & Paper Products, Canada, 968.76M, 7.25, -, 0.65, 1.72, 20.14, -78.20%, 12.60%, 5.73%, 273.60%, 17.70%, -0.40%, -1.40%, 3.20%, 4.10, 2.80, 2.20, 0.00, 12.20%, 4.10%, -0.50%, -11.67%, -5.36%, 71.96%, 83.89%, 44.78%, 4.00%
140, MKD, Molecular Data Inc., Basic Materials, Chemicals, China, 117.20M, -, -, 0.10, -, -, -51.20%, 80.00%, -, -111.80%, -38.30%, -56.10%, 386.70%, -222.70%, 1.00, 1.00, -, -, -0.10%, -4.40%, -4.30%, -12.47%, -42.91%, -31.78%, -50.91%, -4.17%, 6.80%
121, KOP, Koppers Holdings Inc., Basic Materials, Specialty Chemicals, USA, 729.11M, 7.16, 0.37, 0.44, 1.95, 13.53, 41.20%, 7.93%, 18.00%, 734.50%, 1.40%, 9.40%, 50.80%, 12.10%, 2.30, 1.20, 2.13, 2.15, 23.10%, 11.20%, 8.90%, 2.57%, -0.83%, 21.65%, 109.23%, 11.26%, 3.69%
123, KRA, Kraton Corporation, Basic Materials, Specialty Chemicals, USA, 1.12B, 13.37, -, 0.71, 1.72, -, -543.70%, 26.37%, -13.00%, -84.20%, 2.30%, -, -, -10.70%, 1.50, 0.70, 1.34, 1.48, 26.40%, -, -, -10.70%, -16.13%, 16.35%, 122.62%, 22.17%, 5.16%
125, KWR, Quaker Chemical Corporation, Basic Materials, Specialty Chemicals, USA, 4.33B, 28.39, 1.55, 2.95, 3.25, -, 7.00%, 17.52%, 26.27%, 234.80%, 13.50%, -, -, 2.90%, 2.10, 1.60, 0.65, 0.68, 36.50%, -, -, -0.25%, -15.37%, -2.70%, 41.97%, -4.28%, 2.85%
127, LGO, Largo Resources Ltd., Basic Materials, Other Industrial Metals & Mining, Canada, 944.35M, -, -, 8.01, -, -, -, -, -, -4.60%, -5.00%, -, -, -, -, -, -, -, -, -, -, -16.06%, 0.27%, 69.52%, 121.82%, 32.52%, 5.49%
129, LOMA, Loma Negra Compania Industrial Argentina Sociedad Anonima, Basic Materials, Building Materials, Argentina, 1.35B, 8.05, 3.24, 2.83, 1.40, -, 47.90%, 29.67%, 2.94%, 169.20%, 35.40%, -, -, 10.20%, 1.00, 0.60, 0.02, 0.14, 32.00%, -, -, 11.76%, 17.49%, 17.70%, 43.94%, 8.13%, 4.10%
131, LTHM, Livent Corporation, Basic Materials, Specialty Chemicals, USA, 2.91B, 55.90, -, 9.36, 5.33, -, -137.60%, 188.43%, 6.41%, 58.00%, 33.90%, -1.90%, -3.20%, -1.80%, 4.00, 2.40, 0.56, 0.56, 12.70%, -5.60%, -5.70%, 7.49%, 1.40%, 23.95%, 189.47%, 3.56%, 5.63%
133, LYB, LyondellBasell Industries N.V., Basic Materials, Specialty Chemicals, USA, 37.97B, 8.80, 0.40, 1.29, 4.27, 94.92, -55.80%, -12.38%, 39.72%, 658.90%, 21.20%, 7.00%, 29.90%, 6.70%, 1.70, 1.10, 1.57, 1.75, 14.20%, 8.00%, 8.00%, 4.77%, 5.91%, 26.07%, 76.63%, 22.87%, 2.64%
135, MBII, Marrone Bio Innovations Inc., Basic Materials, Agricultural Inputs, USA, 254.20M, -, -, 6.39, 6.67, -, 57.00%, 75.00%, -, 61.10%, 13.40%, -20.60%, -56.60%, -28.90%, 1.50, 1.30, 0.53, 0.87, 61.00%, -36.80%, -41.30%, -20.00%, -45.74%, 20.69%, 30.84%, 12.00%, 6.11%
137, MEOH, Methanex Corporation, Basic Materials, Chemicals, Canada, 2.82B, 20.12, -, 0.97, 2.13, 7.94, -279.70%, -44.43%, 28.70%, 358.70%, 36.30%, -1.30%, -6.10%, 0.20%, 2.10, 1.70, 2.29, 2.40, 14.30%, 2.10%, -2.60%, -4.77%, -8.38%, -14.79%, 120.67%, -22.85%, 3.76%
139, METC, Ramaco Resources Inc., Basic Materials, Coking Coal, USA, 257.08M, 9.43, -, 1.51, 1.43, -, -118.90%, 62.23%, 4.23%, 103.00%, 3.80%, -1.10%, -1.60%, -8.40%, 1.70, 1.00, 0.09, 0.12, 14.50%, -11.10%, -1.60%, 43.39%, 21.05%, 79.69%, 112.18%, 99.65%, 7.18%
142, MMX, Maverix Metals Inc., Basic Materials, Other Precious Metals & Mining, Canada, 804.88M, 36.62, -, 14.50, 2.28, -, 346.60%, 12.14%, -, -, 40.90%, 10.70%, 12.20%, 3.80%, 11.30, 11.30, 0.00, 0.00, 56.90%, 46.70%, 67.80%, -4.17%, 17.83%, 13.19%, 23.66%, 5.31%, 4.28%
